Q1_Humanity,Q2_Transparency,Q3_Capability,Q4_Reliabiltiy ,Q5_OpenEnded,PageName,Number_ProductLines,Age of Account (Month),Monthly Spend,Is_Seller?,Is_Subscriber?,Direct_Buyer?
7,7,7,7,"So far, myy experience with TCGPlayer has been good",Infinite,1,1,1761.79,Yes,No,yes
4,4,4,6,"As a consumer, there is no way for me to know what TCG Player does behind the scenes. Additionally, TCG player resells products, so they can't ""create"" products. However I have been very happy with the services I've received. ",HomePage,1,48,17.36,No,No,no
6,6,6,6,I have had no issues on TCG player everything that I have done on this site has either came to me with no problems or has been resolved between me and the seller.,Search,3,127,8.39,Yes,No,yes
1,1,3,4,"Not all games are equal here. ourright if your not Pokemon, Magic or Yugioh you get less support and benefits from this site. fames that aren't the big 3 dont even have a static olace on the site or get updated regularly. ",Search,1,56,2.26,No,No,yes
7,7,7,7,TCGplayer has been my preferred marketplace for years now - there’s very little that would make that change. Thanks for all you do TCGplayer! ,Search,1,10,21.32,No,No,yes
4,4,4,4,"I have not seen any sort of communication from the TCGPlayer team about its services or products. I requested one feature once, it was ""passed on"" and I havent seen any new features the entire time I have used the site to my knowledge. TCGPlayer seems very behind the scenes and unseen to me.",Search,1,10,21.32,No,No,yes
5,5,5,2,"I think TCG player is a great concept, but more needs to be done with Quality checking and price monitoring. I feel like price manipulation is very easy to pull off. Additionally, I think there needs to be a better system for checking the condition of cards. Often times I will order a card as LP or NM and it will not be. ",Search,1,3,143.93,No,No,yes
7,7,7,7,I purchased a few times and I got the best quality!!!!,Search,1,26,332.58,No,No,yes
6,5,6,7,Good company that gets cards in to customers fast and easy. Never had any problems getting my stuff.,Product,1,5,21.39,No,No,yes
6,7,6,6,I've had a good time with TCGPlayer so far.,Product,1,34,68.97,No,No,yes
4,4,6,7,I only use TCGP for shopping so I'm not sure how to answer the ethical questions,Product,5,30,54.3,No,No,yes
6,6,6,6,Have had nothing but good experiences shopping with tcg.,Search,2,40,78.56,No,Yes,yes
6,5,7,7,I have had no issues with anything regarding TCG in a personal manner. Thank you for what y'all do. ,Search,1,2,19.18,No,No,yes
5,4,3,3,Has issues with services from time to time including recently. ,Product,1,6,173.09,No,No,yes
4,2,4,4,L,HomePage,7,89,40.56,No,No,no
